Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Cluster,Cluster Name
"váy trễ vai trắng tay bồng dáng dài, đầm trễ vai tiểu thư dự tiệc màu trắng điệu đà",Thời trang Jellystore,90000.0,OEM,63.0,4.5,124.0,Váy,VND,0,Sản phẩm cao cấp (ít phổ biến)
Balo Nam Nữ Thời Trang HARAS HR270,HARASMALL,139000.0,HARAS,60.0,4.3,157.0,Balo/Cặp,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Thun Mini | Kẻ Sọc,UNIQLO,293000.0,UNIQLO,122.0,4.88,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Giả Lông Cừu Đan Len Mềm Cổ Tròn,UNIQLO,391000.0,UNIQLO,115.0,4.9,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Thun Vải Cotton Mềm Dáng Relax | Kẻ Sọc,UNIQLO,391000.0,UNIQLO,65.0,4.82,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Thun Vải Pointelle | Cổ Henley,UNIQLO,293000.0,UNIQLO,104.0,4.88,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Extra Warm Cotton Áo Giữ Nhiệt | Cổ Tròn,UNIQLO,489000.0,UNIQLO,72.0,4.88,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Thun Gân Mềm Cổ Tròn | Kẻ Sọc,UNIQLO,293000.0,UNIQLO,215.0,4.92,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Thun Gân Mềm Cổ Tròn,UNIQLO,293000.0,UNIQLO,314.0,4.89,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Áo Giữ Nhiệt Giả Lông Cừu | Cổ Lọ,UNIQLO,391000.0,UNIQLO,506.0,4.85,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Polo Vải Dry Pique | Tipping,UNIQLO,489000.0,UNIQLO,150.0,4.89,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Polo Vải Dry Pique | Kẻ Sọc,UNIQLO,489000.0,UNIQLO,88.0,4.86,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Polo Vải Gân,UNIQLO,489000.0,UNIQLO,203.0,4.86,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Polo Dệt Kim Vải Gân Có Thể Giặt Máy,UNIQLO,588000.0,UNIQLO,112.0,4.95,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Thun,UNIQLO,489000.0,UNIQLO,298.0,4.79,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Bra Top Dáng Lửng | Ringer,UNIQLO,489000.0,UNIQLO,161.0,4.92,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Bra Top Dáng Lửng | Kẻ Sọc,UNIQLO,489000.0,UNIQLO,245.0,4.88,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Bra Top Cổ Yếm | Kẻ Sọc,UNIQLO,489000.0,UNIQLO,86.0,4.91,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Bra Quây Dáng Ngắn,UNIQLO,489000.0,UNIQLO,336.0,4.82,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Áo Bra Hai Dây,UNIQLO,489000.0,UNIQLO,264.0,4.9,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Thun Bra Vải Gân Dáng Ngắn Cổ Vuông,UNIQLO,489000.0,UNIQLO,179.0,4.85,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
UT Harry Potter Áo Thun Ngắn Tay (Hufflepuff),UNIQLO,391000.0,UNIQLO,66.0,4.94,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
UT Harry Potter Áo Thun Ngắn Tay (Slytherin),UNIQLO,391000.0,UNIQLO,71.0,4.94,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Len Dệt 3D Vải Cotton Cổ Tròn | Kẻ Sọc,UNIQLO,686000.0,UNIQLO,70.0,4.91,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Len Dệt 3D Vải Cotton Cổ Tròn,UNIQLO,686000.0,UNIQLO,137.0,4.7,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Len Cardigan Sợi Souffle Dáng Ngắn | Cổ V | Kẻ Sọc,UNIQLO,686000.0,UNIQLO,77.0,4.95,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Cardigan Chống UV Cổ Tròn | Chống Nắng | Kẻ Sọc,UNIQLO,489000.0,UNIQLO,66.0,4.89,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Cardigan Chống UV Cổ Tròn,UNIQLO,489000.0,UNIQLO,174.0,4.86,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Kiểu Vải Rayon,UNIQLO,588000.0,UNIQLO,71.0,4.77,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Kiểu Vải Rayon Cổ Mở | Tay 3/4,UNIQLO,588000.0,UNIQLO,82.0,4.87,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Kiểu Vải Rayon Cổ Mở | Tay 3/4 | Kẻ Sọc,UNIQLO,588000.0,UNIQLO,78.0,4.69,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Kiểu Vải Rayon,UNIQLO,489000.0,UNIQLO,302.0,4.86,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Cotton Dáng Relax Dài Đến Mắt Cá | Denim,UNIQLO,489000.0,UNIQLO,195.0,4.92,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Dài Vải Crepe Jersey Ống Suông,UNIQLO,588000.0,UNIQLO,60.0,4.83,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Dài Vải Linen Pha,UNIQLO,489000.0,UNIQLO,183.0,4.92,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Dệt Kim Vải Gân Có Thể Giặt Máy,UNIQLO,489000.0,UNIQLO,84.0,4.74,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Dài Vải Dạ,UNIQLO,489000.0,UNIQLO,184.0,4.92,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Cotton Easy Shorts | Kẻ Sọc,UNIQLO,391000.0,UNIQLO,74.0,4.84,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Easy Short,UNIQLO,391000.0,UNIQLO,364.0,4.87,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Easy Short Vải Cotton,UNIQLO,391000.0,UNIQLO,355.0,4.84,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Easy Túi Hộp Vải Jersey,UNIQLO,588000.0,UNIQLO,75.0,4.89,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Nỉ Dry Dáng Rộng,UNIQLO,686000.0,UNIQLO,61.0,4.97,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Short Vải Linen Cotton,UNIQLO,588000.0,UNIQLO,247.0,4.88,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Easy Shorts Co Giãn | Vải Sọc Nhăn,UNIQLO,391000.0,UNIQLO,72.0,4.94,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Quần Leggings Siêu Co Giãn (Chống Nắng),UNIQLO,588000.0,UNIQLO,171.0,4.88,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Leggings Siêu Co Giãn | Denim,UNIQLO,489000.0,UNIQLO,70.0,4.79,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Leggings Siêu Co Giãn,UNIQLO,489000.0,UNIQLO,117.0,4.86,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Đầm Thun,UNIQLO,588000.0,UNIQLO,226.0,4.9,0.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
DRY-EX Áo Thun Cổ Tròn,UNIQLO,391000.0,UNIQLO,242.0,4.79,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Tất Cổ Ngắn | 3 Đôi | Thể Thao | Lót Lông,UNIQLO,244000.0,UNIQLO,75.0,4.92,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
Tất Ẩn | 3 Đôi | Thể Thao,UNIQLO,244000.0,UNIQLO,64.0,4.92,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Găng Tay Chống UV Không Đường May (Chống Nắng),UNIQLO,244000.0,UNIQLO,103.0,4.83,0.0,Găng Tay,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Áo Hai Dây,UNIQLO,244000.0,UNIQLO,74.0,4.81,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Áo Thun Giữ Nhiệt,UNIQLO,293000.0,UNIQLO,369.0,4.89,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Ultra Warm Áo Giữ Nhiệt | Cổ Cao,UNIQLO,588000.0,UNIQLO,183.0,4.85,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Ngực Không Gọng | Relax | Cổ Rộng,UNIQLO,489000.0,UNIQLO,154.0,4.92,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Ngực Không Gọng | Ren Co Giãn,UNIQLO,489000.0,UNIQLO,230.0,4.82,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Lót | Cạp Cao,UNIQLO,146000.0,UNIQLO,231.0,4.84,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Tất Ẩn | 3 Đôi | Lót Lông,UNIQLO,244000.0,UNIQLO,82.0,4.85,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
KAWS + Warhol Tất,UNIQLO,97000.0,UNIQLO,61.0,4.84,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Easy Vải Dạ Mềm,UNIQLO,489000.0,UNIQLO,137.0,4.89,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Túi Bán Nguyệt Đeo Chéo (Chần Bông),UNIQLO,391000.0,UNIQLO,213.0,4.91,0.0,Túi,VND,0,Sản phẩm cao cấp (ít phổ biến)
Mũ Bucket Chống UV (Chống Nắng),UNIQLO,489000.0,UNIQLO,67.0,4.87,0.0,Nón/Mũ,VND,0,Sản phẩm cao cấp (ít phổ biến)
Ô Nhỏ Gọn (Chống Nắng),UNIQLO,391000.0,UNIQLO,291.0,4.69,0.0,Khác,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Thun Dry Cổ Tròn Nhiều Màu,UNIQLO,146000.0,UNIQLO,556.0,4.84,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Len Mềm Giả Lông Cừu Cổ Tròn,UNIQLO,489000.0,UNIQLO,109.0,4.96,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Thun Soft Brushed Cổ Tròn,UNIQLO,391000.0,UNIQLO,353.0,4.88,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Thun Vải Waffle,UNIQLO,489000.0,UNIQLO,260.0,4.88,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
DRY-EX Áo Thun Cổ Tròn,UNIQLO,391000.0,UNIQLO,113.0,4.69,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
DRY-EX Áo Thun Cổ Tròn,UNIQLO,391000.0,UNIQLO,87.0,4.8,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
UT KAWS + Warhol Áo Thun,UNIQLO,391000.0,UNIQLO,88.0,4.91,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
UT KAWS + Warhol Áo Thun,UNIQLO,391000.0,UNIQLO,98.0,4.92,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
UT NYC POP ICONS Áo Thun Ngắn Tay (Basquiat),UNIQLO,391000.0,UNIQLO,101.0,4.89,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Ukiyoe Archive UT Áo Thun Ngắn Tay,UNIQLO,391000.0,UNIQLO,68.0,4.87,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Sơ Mi Vải Oxford Dáng Ôm | Kẻ Sọc,UNIQLO,588000.0,UNIQLO,79.0,4.76,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Sơ Mi Vải Oxford Dáng Ôm,UNIQLO,588000.0,UNIQLO,100.0,4.84,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Sơ Mi Broadcloth | Button Down | Kẻ Sọc,UNIQLO,588000.0,UNIQLO,61.0,4.92,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Sơ Mi Broadcloth | Button Down,UNIQLO,588000.0,UNIQLO,137.0,4.69,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Sơ Mi Vải Cotton Linen | Cổ Trụ,UNIQLO,588000.0,UNIQLO,86.0,4.87,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Sơ Mi Vải Cotton Modal | Cổ Mở,UNIQLO,588000.0,UNIQLO,248.0,4.86,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
DRY-EX Áo Polo,UNIQLO,489000.0,UNIQLO,153.0,4.62,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Polo | Gài Nút,UNIQLO,489000.0,UNIQLO,247.0,4.91,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Polo | Gài Nút,UNIQLO,489000.0,UNIQLO,208.0,4.81,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Polo Vải Jersey | Cổ Mở,UNIQLO,489000.0,UNIQLO,199.0,4.86,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Polo | Gài Nút,UNIQLO,489000.0,UNIQLO,182.0,4.8,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Cotton Dài Đến Mắt Cá | Vải Denim,UNIQLO,588000.0,UNIQLO,151.0,4.91,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Jogger Dài Vải Washed Jersey,UNIQLO,588000.0,UNIQLO,85.0,4.82,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Dry Easy Short Co Giãn,UNIQLO,391000.0,UNIQLO,456.0,4.9,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Shorts Gear,UNIQLO,588000.0,UNIQLO,86.0,4.9,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
DRY-EX Quần Short Siêu Co Giãn,UNIQLO,489000.0,UNIQLO,346.0,4.88,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Tất Cổ Ngắn | Thể Thao | Lót Lông,UNIQLO,97000.0,UNIQLO,107.0,4.84,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Quần Tất Giữ Nhiệt,UNIQLO,293000.0,UNIQLO,92.0,4.86,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Áo Giữ Nhiệt,UNIQLO,293000.0,UNIQLO,122.0,4.89,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Extra Warm Cotton Quần Tất Giữ Nhiệt,UNIQLO,489000.0,UNIQLO,174.0,4.87,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Extra Warm Cotton Áo Giữ Nhiệt,UNIQLO,489000.0,UNIQLO,332.0,4.86,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Ultra Warm Quần Tất Giữ Nhiệt,UNIQLO,588000.0,UNIQLO,141.0,4.87,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Ultra Warm Áo Giữ Nhiệt | Cổ Tròn,UNIQLO,588000.0,UNIQLO,230.0,4.9,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Lót Boxer Brief,UNIQLO,146000.0,UNIQLO,108.0,4.94,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Trunks | Broadcloth,UNIQLO,146000.0,UNIQLO,117.0,4.75,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Quần Lót Boxer Brief,UNIQLO,244000.0,UNIQLO,159.0,4.92,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Quần Lót Boxer Brief | Cạp Thấp,UNIQLO,244000.0,UNIQLO,66.0,4.83,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Quần Lót Boxer Briefs Không Đường May,UNIQLO,244000.0,UNIQLO,368.0,4.83,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Lót Dáng Trunk Dệt In Hình,UNIQLO,146000.0,UNIQLO,98.0,4.77,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Thun Cổ Tròn,UNIQLO,244000.0,UNIQLO,459.0,4.83,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Áo Thun | Cổ Tròn,UNIQLO,244000.0,UNIQLO,275.0,4.74,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Áo Thun | Cổ V,UNIQLO,244000.0,UNIQLO,129.0,4.78,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Áo Ba Lỗ Vải Mắt Lưới,UNIQLO,244000.0,UNIQLO,92.0,4.78,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Quần Lót Boxer Không Đường May,UNIQLO,244000.0,UNIQLO,112.0,4.76,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Quần Lót Boxer Không Đường May,UNIQLO,244000.0,UNIQLO,187.0,4.78,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Tất Cổ Thấp | Lót Lông,UNIQLO,97000.0,UNIQLO,213.0,4.91,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
Tất Cổ Ngắn | Vải Mắt Lưới | Họa Tiết,UNIQLO,97000.0,UNIQLO,113.0,4.86,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
SUPIMA COTTON Tất | Wide Ribbed,UNIQLO,97000.0,UNIQLO,86.0,4.9,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
SUPIMA COTTON Tất | Vải Pique,UNIQLO,97000.0,UNIQLO,87.0,4.86,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
Tất Nhiều Màu,UNIQLO,77000.0,UNIQLO,313.0,4.89,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
Túi Vải Tái Chế (Cotton),UNIQLO,57000.0,UNIQLO,142.0,4.94,0.0,Túi,VND,0,Sản phẩm cao cấp (ít phổ biến)
Túi Quà Tặng,UNIQLO,77000.0,UNIQLO,234.0,4.92,0.0,Túi,VND,0,Sản phẩm cao cấp (ít phổ biến)
